,day,title,author,grade,postImage
79,월,버그이터,이륙,9.76,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
80,월,러브 똘츄얼리,김진경,7.16,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
81,월,루크 비셸 따라잡기,앙꼬빵 / 학뚜벅 / 에슈티,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
82,월,트러블리걸,일쩜이,9.74,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
83,월,결혼공략,율무,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
84,월,오로지 오로라,홍달,9.88,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
85,월,파운더,임상윤 / 만두인,9.91,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
86,월,중독연구소,김택기,9.84,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
87,월,행운을 부탁해!,해롱,9.86,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
88,월,악취해결사,샘샘,9.93,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
89,월,트리거,고경빈,9.85,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
90,월,모스크바의 여명,이샨오 / 황장미,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
